disease_id,name_ko,name_en,disease_code,category,main_symptoms,guideline,department,sub_department,desc_url
70,아토피,Repellendus,D0070,염증성 피부질환,"['열감', '통증']","['아토피 의심 시 병원 내원 권장', '염증성 피부질환 관련 진료과 방문']",외과,감염내과,http://ju.kr/
71,무좀,Minima,D0071,손발톱 질환,"['가려움', '열감']","['무좀 의심 시 병원 내원 권장', '손발톱 질환 관련 진료과 방문']",내과,류마티스내과,https://ryuson.com/
72,찰과상,Similique,D0072,표재성 상처,"['열감', '화끈거림']","['찰과상 의심 시 병원 내원 권장', '표재성 상처 관련 진료과 방문']",외과,응급의학과,http://yu.kr/
73,대상포진,Beatae,D0073,수포성 질환,"['물집', '화끈거림']","['대상포진 의심 시 병원 내원 권장', '수포성 질환 관련 진료과 방문']",외과,피부과,https://yu.com/
74,찰과상,Eaque,D0074,표재성 상처,"['물집', '열감']","['찰과상 의심 시 병원 내원 권장', '표재성 상처 관련 진료과 방문']",내과,감염내과,https://www.yu.kr/
75,대상포진,Delectus,D0075,수포성 질환,"['화끈거림', '가려움']","['대상포진 의심 시 병원 내원 권장', '수포성 질환 관련 진료과 방문']",내과,응급의학과,http://www.jusighoesa.kr/
76,농가진,Autem,D0076,세균 감염,"['가려움', '물집']","['농가진 의심 시 병원 내원 권장', '세균 감염 관련 진료과 방문']",내과,성형외과,https://www.jusighoesa.net/
77,대상포진,Qui,D0077,수포성 질환,"['화끈거림', '가려움']","['대상포진 의심 시 병원 내원 권장', '수포성 질환 관련 진료과 방문']",외과,류마티스내과,http://www.yuhanhoesa.com/
78,혈관종,Facere,D0078,혈관운동성 질환,"['물집', '열감']","['혈관종 의심 시 병원 내원 권장', '혈관운동성 질환 관련 진료과 방문']",외과,응급의학과,https://www.gimsingim.com/
79,루푸스,Quam,D0079,자가면역 질환,"['화끈거림', '열감']","['루푸스 의심 시 병원 내원 권장', '자가면역 질환 관련 진료과 방문']",내과,응급의학과,http://baggimgim.kr/
80,화상,Quidem,D0080,화상,"['화끈거림', '물집']","['화상 의심 시 병원 내원 권장', '화상 관련 진료과 방문']",외과,피부과,http://ryujanghan.com/
81,흑색종,Distinctio,D0081,색소 질환,"['통증', '가려움']","['흑색종 의심 시 병원 내원 권장', '색소 질환 관련 진료과 방문']",내과,성형외과,http://yuhanhoesa.org/
82,농가진,Sed,D0082,세균 감염,"['통증', '물집']","['농가진 의심 시 병원 내원 권장', '세균 감염 관련 진료과 방문']",외과,성형외과,http://iyun.com/
83,루푸스,Minus,D0083,자가면역 질환,"['가려움', '물집']","['루푸스 의심 시 병원 내원 권장', '자가면역 질환 관련 진료과 방문']",내과,응급의학과,https://www.gimgim.kr/
84,대상포진,Magni,D0084,수포성 질환,"['가려움', '열감']","['대상포진 의심 시 병원 내원 권장', '수포성 질환 관련 진료과 방문']",외과,감염내과,http://ju.com/
85,절개상,Provident,D0085,절개성 상처,"['열감', '화끈거림']","['절개상 의심 시 병원 내원 권장', '절개성 상처 관련 진료과 방문']",내과,피부과,https://www.gimyangjang.com/
86,루푸스,Quis,D0086,자가면역 질환,"['화끈거림', '물집']","['루푸스 의심 시 병원 내원 권장', '자가면역 질환 관련 진료과 방문']",내과,응급의학과,http://www.gimbaggim.net/
87,자상,Delectus,D0087,자상,"['화끈거림', '통증']","['자상 의심 시 병원 내원 권장', '자상 관련 진료과 방문']",내과,감염내과,http://heoju.kr/
88,수두,Maxime,D0088,바이러스 질환,"['물집', '통증']","['수두 의심 시 병원 내원 권장', '바이러스 질환 관련 진료과 방문']",내과,류마티스내과,http://gimgim.org/
89,흑색종,Sunt,D0089,색소 질환,"['화끈거림', '물집']","['흑색종 의심 시 병원 내원 권장', '색소 질환 관련 진료과 방문']",외과,성형외과,https://yu.com/
90,두부백선,Quos,D0090,기생충 감염,"['물집', '열감']","['두부백선 의심 시 병원 내원 권장', '기생충 감염 관련 진료과 방문']",외과,응급의학과,http://jusighoesa.net/
91,루푸스,Unde,D0091,자가면역 질환,"['통증', '화끈거림']","['루푸스 의심 시 병원 내원 권장', '자가면역 질환 관련 진료과 방문']",외과,피부과,https://www.ju.com/
92,아토피,Sunt,D0092,염증성 피부질환,"['통증', '열감']","['아토피 의심 시 병원 내원 권장', '염증성 피부질환 관련 진료과 방문']",내과,응급의학과,http://yu.com/
93,절개상,Tempora,D0093,절개성 상처,"['가려움', '열감']","['절개상 의심 시 병원 내원 권장', '절개성 상처 관련 진료과 방문']",내과,피부과,https://gimganggim.net/
94,절개상,Omnis,D0094,절개성 상처,"['물집', '열감']","['절개상 의심 시 병원 내원 권장', '절개성 상처 관련 진료과 방문']",외과,응급의학과,http://ju.kr/
95,흑색종,Minima,D0095,색소 질환,"['열감', '화끈거림']","['흑색종 의심 시 병원 내원 권장', '색소 질환 관련 진료과 방문']",내과,응급의학과,https://www.iheobag.net/
96,자상,Nihil,D0096,자상,"['열감', '물집']","['자상 의심 시 병원 내원 권장', '자상 관련 진료과 방문']",내과,응급의학과,http://www.iigweon.com/
97,아토피,Sint,D0097,염증성 피부질환,"['열감', '물집']","['아토피 의심 시 병원 내원 권장', '염증성 피부질환 관련 진료과 방문']",내과,응급의학과,http://gimi.com/
98,두부백선,Fuga,D0098,기생충 감염,"['가려움', '물집']","['두부백선 의심 시 병원 내원 권장', '기생충 감염 관련 진료과 방문']",내과,피부과,http://jusighoesa.com/
99,아토피,Occaecati,D0099,염증성 피부질환,"['열감', '통증']","['아토피 의심 시 병원 내원 권장', '염증성 피부질환 관련 진료과 방문']",외과,류마티스내과,http://ju.com/
100,농가진,Dignissimos,D0100,세균 감염,"['물집', '통증']","['농가진 의심 시 병원 내원 권장', '세균 감염 관련 진료과 방문']",외과,성형외과,http://ijang.net/
